OCCUPATIONAL CATEGORIES, DIVISIONS, AND GROUPS                                  
                                                                                
ONE-DIGIT OCCUPATIONAL CATEGORIES                                               
                                                                                
0/1  PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS                        
581  SEPARATING, FILTERING, AND DRYING OCCUPATIONS                              
582  WASHING, STEAMING, AND SATURATING OCCUPATIONS                              
583  IRONING, PRESSING, GLAZING, STAKING, CALENDERING, AND EMBOSSING OCCUPATIONS
584  MERCERIZING, COATING, AND LAMINATING OCCUPATIONS                           
585  SINGEING, CUTTING, SHEARING, SHAVING, AND NAPPING OCCUPATIONS              
586  FELTING AND FULLING OCCUPATIONS                                            
587  BRUSHING AND SHRINKING OCCUPATIONS                                         
589  OCCUPATIONS IN PROCESSING OF LEATHER, TEXTILES, AND RELATED PRODUCTS,      
     N.E.C.                                                                     
590  OCCUPATIONS IN PROCESSING PRODUCTS FROM ASSORTED MATERIALS                 
599  MISCELLANEOUS PROCESSING OCCUPATIONS, N.E.C.                               
600  MACHINISTS AND RELATED OCCUPATIONS                                         
601  TOOLMAKERS AND RELATED OCCUPATIONS                                         
602  GEAR MACHINING OCCUPATIONS                                                 
603  ABRADING OCCUPATIONS                                                       
604  TURNING OCCUPATIONS                                                        
605  MILLING, SHAPING, AND PLANING OCCUPATIONS                                  
606  BORING OCCUPATIONS                                                         
607  SAWING OCCUPATIONS                                                         
609  METAL MACHINING OCCUPATIONS, N.E.C.                                        
610  HAMMER FORGING OCCUPATIONS                                                 
611  PRESS FORGING OCCUPATIONS                                                  
612  FORGING OCCUPATIONS, N.E.C.                                                
613  SHEET AND BAR ROLLING OCCUPATIONS                                          
614  EXTRUDING AND DRAWING OCCUPATIONS                                          
615  PUNCHING AND SHEARING OCCUPATIONS                                          
616  FABRICATING MACHINE OCCUPATIONS                                            
617  FORMING OCCUPATIONS, N.E.C.                                                
619  MISCELLANEOUS METALWORKING OCCUPATIONS, N.E.C.                             
620  MOTORIZED VEHICLE AND ENGINEERING EQUIPMENT MECHANICS AND REPAIRERS        
621  AIRCRAFT MECHANICS AND REPAIRERS                                           
622  RAIL EQUIPMENT MECHANICS AND REPAIRERS                                     
623  MARINE MECHANICS AND REPAIRERS                                             
624  FARM MECHANICS AND REPAIRERS                                               
625  ENGINE, POWER TRANSMISSION, AND RELATED MECHANICS                          
626  METALWORKING MACHINERY MECHANICS                                           
627  PRINTING AND PUBLISHING MECHANICS AND REPAIRERS                            
628  TEXTILE MACHINERY AND EQUIPMENT MECHANICS AND REPAIRERS                    
629  SPECIAL INDUSTRY MACHINERY MECHANICS                                       
630  GENERAL INDUSTRY MECHANICS AND REPAIRERS                                   
631  POWERPLANT MECHANICS AND REPAIRERS                                         
632  ORDNANCE AND ACCESSORIES MECHANICS AND REPAIRERS                           
633  BUSINESS AND COMMERCIAL MACHINE REPAIRERS                                  
637  UTILITIES SERVICE MECHANICS AND REPAIRERS                                  
638  MISCELLANEOUS OCCUPATIONS IN MACHINE INSTALLATION AND REPAIR               
639  MECHANICS AND MACHINERY REPAIRERS, N.E.C.                                  
640  PAPER CUTTING, WINDING, AND RELATED OCCUPATIONS                            
641  FOLDING, CREASING, SCORING, AND GLUING OCCUPATIONS                         
649  PAPERWORKING OCCUPATIONS, N.E.C.                                           
650  TYPESETTERS AND COMPOSERS                                                  
651  PRINTING PRESS OCCUPATIONS                                                 
652  PRINTING MACHINE OCCUPATIONS                                               
653  BOOKBINDING-MACHINE OPERATORS AND RELATED OCCUPATIONS                      
654  TYPECASTERS AND RELATED OCCUPATIONS                                        
659  PRINTING OCCUPATIONS, N.E.C.                                               
660  CABINETMAKERS                                                              
661  PATTERNMAKERS                                                              
662  SANDING OCCUPATIONS                                                        
663  SHEARING AND SHAVING OCCUPATIONS                                           
664  TURNING OCCUPATIONS                                                        
665  MILLING AND PLANING OCCUPATIONS                                            
666  BORING OCCUPATIONS                                                         
667  SAWING OCCUPATIONS                                                         
669  WOOD MACHINING OCCUPATIONS, N.E.C.                                         
670  STONECUTTERS AND RELATED OCCUPATIONS                                       
673  ABRADING OCCUPATIONS                                                       
674  TURNING OCCUPATIONS                                                        
675  PLANING AND SHAPING OCCUPATIONS, N.E.C.                                    
676  BORING AND PUNCHING OCCUPATIONS                                            
677  CHIPPING, CUTTING, SAWING, AND RELATED OCCUPATIONS                         
679  OCCUPATIONS IN MACHINING STONE, CLAY, GLASS, AND RELATED MATERIALS, N.E.C. 
680  CARDING, COMBING, DRAWING, AND RELATED OCCUPATIONS                         
681  TWISTING, BEAMING, WARPING, AND RELATED OCCUPATIONS                        
682  SPINNING OCCUPATIONS                                                       
683  WEAVERS AND RELATED OCCUPATIONS                                            
684  HOSIERY KNITTING OCCUPATIONS                                               
685  KNITTING OCCUPATIONS, EXCEPT HOSIERY                                       
686  PUNCHING, CUTTING, FORMING, AND RELATED OCCUPATIONS                        
687  TUFTING OCCUPATIONS                                                        
689  TEXTILE OCCUPATIONS, N.E.C.                                                
690  PLASTICS, SYNTHETICS, RUBBER, AND LEATHER WORKING OCCUPATIONS              
691  OCCUPATIONS IN FABRICATION OF INSULATED WIRE AND CABLE                     
692  OCCUPATIONS IN FABRICATION OF PRODUCTS FROM ASSORTED MATERIALS             
693  MODELMAKERS, PATTERNMAKERS, AND RELATED OCCUPATIONS                        
694  OCCUPATIONS IN FABRICATION OF ORDNANCE, AMMUNITION, AND RELATED PRODUCTS,  
     N.E.C.                                                                     
699  MISCELLANEOUS MACHINE TRADES OCCUPATIONS, N.E.C.                           
700  OCCUPATIONS IN FABRICATION, ASSEMBLY, AND REPAIR OF JEWELRY, SILVERWARE,   
     AND RELATED PRODUCTS                                                       
701  OCCUPATIONS IN FABRICATION, ASSEMBLY, AND REPAIR OF TOOLS, AND RELATED     
     PRODUCTS                                                                   
703  OCCUPATIONS IN ASSEMBLY AND REPAIR OF SHEETMETAL PRODUCTS, N.E.C.          
704  ENGRAVERS, ETCHERS, AND RELATED OCCUPATIONS                                
705  FILING, GRINDING, BUFFING, CLEANING, AND POLISHING OCCUPATIONS, N.E.C.     
706  METAL UNIT ASSEMBLERS AND ADJUSTERS, N.E.C.                                
709  MISCELLANEOUS OCCUPATIONS IN FABRICATION, ASSEMBLY, AND REPAIR OF METAL    
     PRODUCTS, N.E.C.                                                           
710  OCCUPATIONS IN FABRICATION AND REPAIR OF INSTRUMENTS FOR MEASURING,        
     CONTROLLING, AND INDICATING PHYSICAL CHARACTERISTICS                       
711  OCCUPATIONS IN FABRICATION AND REPAIR OF OPTICAL INSTRUMENTS               
712  OCCUPATIONS IN FABRICATION AND REPAIR OF SURGICAL, MEDICAL, AND DENTAL     
     INSTRUMENTS AND SUPPLIES                                                   
713  OCCUPATIONS IN FABRICATION AND REPAIR OF OPHTHALMIC GOODS                  
714  OCCUPATIONS IN FABRICATION AND REPAIR OF PHOTOGRAPHIC EQUIPMENT AND        
     SUPPLIES                                                                   
715  OCCUPATIONS IN FABRICATION AND REPAIR OF WATCHES, CLOCKS, AND PARTS        
716  OCCUPATIONS IN FABRICATION AND REPAIR OF ENGINEERING AND SCIENTIFIC        
     INSTRUMENTS AND EQUIPMENT, N.E.C.                                          
719  OCCUPATIONS IN FABRICATION AND REPAIR OF SCIENTIFIC AND MEDICAL APPARATUS, 
     PHOTOGRAPHIC AND OPTICAL GOODS, HOROLOGICAL, AND RELATED PRODUCTS, N.E.C.  
720  OCCUPATIONS IN ASSEMBLY AND REPAIR OF RADIO AND TELEVISION RECEIVING SETS  
     AND PHONOGRAPHS                                                            
721  OCCUPATIONS IN ASSEMBLY AND REPAIR OF MOTORS, GENERATORS, AND RELATED      
     PRODUCTS                                                                   
722  OCCUPATIONS IN ASSEMBLY AND REPAIR OF COMMUNICATIONS EQUIPMENT             
723  OCCUPATIONS IN ASSEMBLY AND REPAIR OF ELECTRICAL APPLIANCES AND FIXTURES   
724  OCCUPATIONS IN WINDING AND ASSEMBLING COILS, MAGNETS, ARMATURES, AND       
     RELATED PRODUCTS                                                           
725  OCCUPATIONS IN ASSEMBLY OF LIGHT BULBS AND ELECTRONIC TUBES                
726  OCCUPATIONS IN ASSEMBLY AND REPAIR OF ELECTRONIC COMPONENTS AND            
     ACCESSORIES, N.E.C.                                                        
727  OCCUPATIONS IN ASSEMBLY OF STORAGE BATTERIES                               
728  OCCUPATIONS IN FABRICATION OF ELECTRICAL WIRE AND CABLE                    
729  OCCUPATIONS IN ASSEMBLY AND REPAIR OF ELECTRICAL EQUIPMENT, N.E.C.         
730  OCCUPATIONS IN FABRICATION AND REPAIR OF MUSICAL INSTRUMENTS AND PARTS     
731  OCCUPATIONS IN FABRICATION AND REPAIR OF GAMES AND TOYS                    
732  OCCUPATIONS IN FABRICATION AND REPAIR OF SPORTING GOODS                    
733  OCCUPATIONS IN FABRICATION AND REPAIR OF PENS, PENCILS, AND OFFICE AND     
     ARTISTS' MATERIALS, N.E.C.                                                 
734  OCCUPATIONS IN FABRICATION AND REPAIR OF NOTIONS                           
735  OCCUPATIONS IN FABRICATION AND REPAIR OF JEWELRY, N.E.C.                   
736  OCCUPATIONS IN FABRICATION AND REPAIR OF ORDNANCE AND ACCESSORIES          
737  OCCUPATIONS IN FABRICATION OF AMMUNITION, FIREWORKS, EXPLOSIVES, AND       
     RELATED PRODUCTS                                                           
739  OCCUPATIONS IN FABRICATION AND REPAIR OF PRODUCTS MADE FROM ASSORTED       
     MATERIALS, N.E.C.                                                          
740  PAINTERS, BRUSH                                                            
741  PAINTERS, SPRAY                                                            
742  STAINING, WAXING, AND RELATED OCCUPATIONS                                  
749  PAINTING, DECORATING, AND RELATED OCCUPATIONS, N.E.C.                      
750  OCCUPATIONS IN FABRICATION AND REPAIR OF TIRES, TUBES, TIRE TREADS, AND    
     RELATED PRODUCTS                                                           
751  LAYING OUT AND CUTTING OCCUPATIONS, N.E.C.                                 
752  FITTING, SHAPING, CEMENTING, FINISHING, AND RELATED OCCUPATIONS, N.E.C.    
753  OCCUPATIONS IN FABRICATION AND REPAIR OF RUBBER AND PLASTIC FOOTWEAR       
754  OCCUPATIONS IN FABRICATION AND REPAIR OF MISCELLANEOUS PLASTICS PRODUCTS   
759  OCCUPATIONS IN FABRICATION AND REPAIR OF PLASTICS, SYNTHETICS, RUBBER, AND 
     RELATED PRODUCTS, N.E.C.                                                   
760  BENCH CARPENTERS AND RELATED OCCUPATIONS                                   
761  OCCUPATIONS IN LAYING OUT, CUTTING, CARVING, SHAPING, AND SANDING WOOD     
     PRODUCTS, N.E.C.                                                           
762  OCCUPATIONS IN ASSEMBLING WOOD PRODUCTS, N.E.C.                            
763  OCCUPATIONS IN FABRICATION AND REPAIR OF FURNITURE, N.E.C.                 
764  COOPERAGE OCCUPATIONS                                                      
769  OCCUPATIONS IN FABRICATION AND REPAIR OF WOOD PRODUCTS, N.E.C.             
770  OCCUPATIONS IN FABRICATION AND REPAIR OF JEWELRY, ORNAMENTS, AND RELATED   
     PRODUCTS                                                                   
771  STONE CUTTERS AND CARVERS                                                  
772  GLASS BLOWING, PRESSING, SHAPING, AND RELATED OCCUPATIONS, N.E.C.          
773  OCCUPATIONS IN COLORING AND DECORATING BRICK, TILE, AND RELATED PRODUCTS   
774  OCCUPATIONS IN FABRICATION AND REPAIR OF POTTERY AND PORCELAIN WARE        
775  GRINDING, FILING, POLISHING, FROSTING, ETCHING, CLEANING, AND RELATED      
     OCCUPATIONS, N.E.C.                                                        
776  OCCUPATIONS IN FABRICATION AND REPAIR OF ASBESTOS AND POLISHING PRODUCTS,  
     ABRASIVES, AND RELATED MATERIALS                                           
777  MODELMAKERS, PATTERNMAKERS, MOLDMAKERS, AND RELATED OCCUPATIONS            
779  OCCUPATIONS IN FABRICATION AND REPAIR OF SAND, STONE, CLAY, AND GLASS      
     PRODUCTS, N.E.C.                                                           
780  OCCUPATIONS IN UPHOLSTERING AND IN FABRICATION AND REPAIR OF STUFFED       
     FURNITURE, MATTRESSES, AND RELATED PRODUCTS                                
781  LAYING OUT, MARKING, CUTTING, AND PUNCHING OCCUPATIONS, N.E.C.             
782  HAND SEWERS, MENDERS, EMBROIDERERS, KNITTERS, AND RELATED OCCUPATIONS,     
     N.E.C.                                                                     
783  FUR AND LEATHER WORKING OCCUPATIONS                                        
784  OCCUPATIONS IN FABRICATION AND REPAIR OF HATS, CAPS, GLOVES, AND RELATED   
     PRODUCTS                                                                   
785  TAILORS AND DRESSMAKERS                                                    
786  SEWING MACHINE OPERATORS, GARMENT                                          
787  SEWING MACHINE OPERATORS, NONGARMENT                                       
788  OCCUPATIONS IN FABRICATION AND REPAIR OF FOOTWEAR                          
789  OCCUPATIONS IN FABRICATION AND REPAIR OF TEXTILE, LEATHER, AND RELATED     
     PRODUCTS, N.E.C.                                                           
790  OCCUPATIONS IN PREPARATION OF FOOD, TOBACCO, AND RELATED PRODUCTS, N.E.C.  
794  OCCUPATIONS IN FABRICATION OF PAPER PRODUCTS, N.E.C.                       
795  GLUING OCCUPATIONS, N.E.C.                                                 
800  RIVETERS, N.E.C.                                                           
801  FITTING, BOLTING, SCREWING, AND RELATED OCCUPATIONS                        
804  TINSMITHS, COPPERSMITHS, AND SHEET METAL WORKERS                           
805  BOILERMAKERS                                                               
806  TRANSPORTATION EQUIPMENT ASSEMBLERS AND RELATED OCCUPATIONS                
807  STRUCTURAL REPAIRERS, TRANSPORTATION EQUIPMENT                             
809  MISCELLANEOUS OCCUPATIONS IN METAL FABRICATING, N.E.C.                     
810  ARC WELDERS AND CUTTERS                                                    
811  GAS WELDERS                                                                
812  RESISTANCE WELDERS                                                         
813  BRAZING, BRAZE-WELDING, AND SOLDERING OCCUPATIONS                          
814  SOLID STATE WELDERS                                                        
815  ELECTRON-BEAM; ELECTROSLAG; THERMIT; INDUCTION; AND LASER-BEAM WELDERS     
816  THERMAL CUTTERS AND ARC CUTTERS                                            
819  WELDERS, CUTTERS, AND RELATED OCCUPATIONS, N.E.C.                          
820  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF GENERATORS, MOTORS,   
     ACCESSORIES, AND RELATED POWERPLANT EQUIPMENT                              
821  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF TRANSMISSION AND      
     DISTRIBUTION LINES AND CIRCUITS                                            
822  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF WIRE COMMUNICATION,   
     DETECTION AND SIGNALING EQUIPMENT                                          
823  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF ELECTRONIC            
     COMMUNICATION, DETECTION, AND SIGNALING EQUIPMENT                          
824  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF LIGHTING EQUIPMENT AND
     BUILDING WIRING, N.E.C.                                                    
825  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF TRANSPORTATION AND    
     MATERIAL-HANDLING EQUIPMENT, N.E.C.                                        
826  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF INDUSTRIAL APPARATUS, 
     N.E.C.                                                                     
827  OCCUPATIONS IN ASSEMBLY, INSTALLATION, AND REPAIR OF LARGE HOUSEHOLD       
     APPLIANCES AND SIMILAR COMMERCIAL AND INDUSTRIAL EQUIPMENT                 
828  OCCUPATIONS IN FABRICATION, INSTALLATION, AND REPAIR OF ELECTRICAL AND     
     ELECTRONICS PRODUCTS, N.E.C.                                               
829  OCCUPATIONS IN INSTALLATION AND REPAIR OF ELECTRICAL PRODUCTS, N.E.C.      
840  CONSTRUCTION AND MAINTENANCE PAINTERS AND RELATED OCCUPATIONS              
841  PAPERHANGERS                                                               
842  PLASTERERS AND RELATED OCCUPATIONS                                         
843  WATERPROOFING AND RELATED OCCUPATIONS                                      
844  CEMENT AND CONCRETE FINISHING AND RELATED OCCUPATIONS                      
845  TRANSPORTATION EQUIPMENT PAINTERS AND RELATED OCCUPATIONS                  
849  PAINTING, PLASTERING, WATERPROOFING, CEMENTING, AND RELATED OCCUPATIONS,   
     N.E.C.                                                                     
850  EXCAVATING, GRADING, AND RELATED OCCUPATIONS                               
851  DRAINAGE AND RELATED OCCUPATIONS                                           
853  PAVING OCCUPATIONS, ASPHALT AND CONCRETE                                   
859  EXCAVATING, GRADING, PAVING, AND RELATED OCCUPATIONS, N.E.C.               
860  CARPENTERS AND RELATED OCCUPATIONS                                         
861  BRICK AND STONE MASONS AND TILE SETTERS                                    
862  PLUMBERS, GAS FITTERS, STEAM FITTERS, AND RELATED OCCUPATIONS              
863  ASBESTOS AND INSULATION WORKERS                                            
864  FLOOR LAYING AND FINISHING OCCUPATIONS                                     
865  GLAZIERS AND RELATED OCCUPATIONS                                           
866  ROOFERS AND RELATED OCCUPATIONS                                            
869  MISCELLANEOUS CONSTRUCTION OCCUPATIONS, N.E.C.                             
891  OCCUPATIONS IN STRUCTURAL MAINTENANCE, N.E.C.                              
899  MISCELLANEOUS STRUCTURAL WORK OCCUPATIONS, N.E.C.                          
900  CONCRETE-MIXING-TRUCK DRIVERS                                              
902  DUMP-TRUCK DRIVERS                                                         
903  TRUCK DRIVERS, INFLAMMABLES                                                
904  TRAILER-TRUCK DRIVERS                                                      
905  TRUCK DRIVERS, HEAVY                                                       
906  TRUCK DRIVERS, LIGHT                                                       
909  MOTOR FREIGHT OCCUPATIONS, N.E.C.                                          
910  RAILROAD TRANSPORTATION OCCUPATIONS                                        
911  WATER TRANSPORTATION OCCUPATIONS                                           
912  AIR TRANSPORTATION OCCUPATIONS                                             
913  PASSENGER TRANSPORTATION OCCUPATIONS, N.E.C.                               
914  PUMPING AND PIPELINE TRANSPORTATION OCCUPATIONS                            
915  ATTENDANTS AND SERVICERS, PARKING LOTS AND AUTOMOTIVE SERVICE FACILITIES   
919  MISCELLANEOUS TRANSPORTATION OCCUPATIONS, N.E.C.                           
920  PACKAGING OCCUPATIONS                                                      
921  HOISTING AND CONVEYING OCCUPATIONS                                         
922  OCCUPATIONS IN MOVING AND STORING MATERIALS AND PRODUCTS, N.E.C.           
929  PACKAGING AND MATERIALS HANDLING OCCUPATIONS, N.E.C.                       
930  EARTH BORING, DRILLING, CUTTING, AND RELATED OCCUPATIONS                   
931  BLASTING OCCUPATIONS                                                       
932  LOADING AND CONVEYING OPERATIONS                                           
933  CRUSHING OCCUPATIONS                                                       
934  SCREENING AND RELATED OCCUPATIONS                                          
939  OCCUPATIONS IN EXTRACTION OF MINERALS, N.E.C.                              
950  STATIONARY ENGINEERS                                                       
951  FIRERS AND RELATED OCCUPATIONS                                             
952  OCCUPATIONS IN GENERATION, TRANSMISSION, AND DISTRIBUTION OF ELECTRIC      
     LIGHT AND POWER                                                            
953  OCCUPATIONS IN PRODUCTION AND DISTRIBUTION OF GAS                          
954  OCCUPATIONS IN FILTRATION, PURIFICATION, AND DISTRIBUTION OF WATER         
955  OCCUPATIONS IN DISPOSAL OF REFUSE AND SEWAGE                               
956  OCCUPATIONS IN DISTRIBUTION OF STEAM                                       
959  OCCUPATIONS IN PRODUCTION AND DISTRIBUTION OF UTILITIES, N.E.C.            
960  MOTION PICTURE PROJECTIONISTS                                              
961  MODELS, STAND-INS, AND EXTRAS, N.E.C.                                      
962  OCCUPATIONS IN MOTION PICTURE, TELEVISION, AND THEATRICAL PRODUCTIONS,     
     N.E.C.                                                                     
969  MISCELLANEOUS AMUSEMENT AND RECREATION OCCUPATIONS, N.E.C.                 
970  ART WORK OCCUPATIONS, BRUSH, SPRAY, OR PEN                                 
971  PHOTOENGRAVING OCCUPATIONS                                                 
972  LITHOGRAPHERS AND RELATED OCCUPATIONS                                      
973  HAND COMPOSITORS, TYPESETTERS, AND RELATED OCCUPATIONS                     
974  ELECTROTYPERS, STEREOTYPERS, AND RELATED OCCUPATIONS                       
976  DARKROOM OCCUPATIONS, N.E.C.                                               
977  BOOKBINDERS AND RELATED OCCUPATIONS                                        
979  OCCUPATIONS IN GRAPHIC ART WORK, N.E.C.                                    
                                                                                
